               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045673,            0.019724,            0.083895,            0.012399,             0.93173,            0.021698,            0.012662,            0.024812,           0.0049611,            0.068311,            0.070047,           0.0033281,           0.0033281
                   1,            0.029913,            0.015196,            0.079403,            0.012931,              0.9014,            0.034191,            0.018498,            0.025229,           0.0053405,            0.065339,            0.039981,           0.0065955,           0.0065955
                   2,            0.030923,            0.015331,            0.078011,             0.35788,             0.10219,            0.063723,            0.029584,             0.02815,            0.005845,             0.06245,           0.0098494,           0.0097968,           0.0097968
                   3,             0.03045,            0.015825,            0.073787,             0.37539,             0.10301,            0.078676,            0.033629,            0.028299,           0.0064242,              0.0603,            0.009703,            0.009703,            0.009703
                   4,            0.028546,            0.015301,             0.06895,             0.29473,             0.21526,             0.14619,            0.069508,            0.027395,           0.0056582,            0.054921,            0.009703,            0.009703,            0.009703
                   5,            0.028194,            0.015132,            0.068035,             0.27636,             0.31594,             0.24923,             0.13348,            0.024659,           0.0051861,            0.048877,            0.009604,            0.009604,            0.009604
                   6,            0.027064,            0.014636,            0.064055,             0.30502,             0.40517,             0.32912,             0.17683,             0.02408,           0.0051638,             0.04684,            0.009505,            0.009505,            0.009505
                   7,            0.027036,            0.014535,            0.063458,             0.36377,             0.48136,              0.4021,             0.22155,            0.023964,           0.0050504,            0.042344,            0.009406,            0.009406,            0.009406
                   8,            0.025877,            0.014371,            0.060353,             0.36696,             0.43649,             0.38196,             0.21463,            0.023922,           0.0049581,            0.040817,            0.009307,            0.009307,            0.009307
                   9,            0.025992,            0.014388,            0.058683,             0.40335,             0.51882,             0.43477,             0.23335,            0.023658,           0.0048276,             0.03854,            0.009208,            0.009208,            0.009208
                  10,            0.025602,            0.014265,            0.057147,             0.40767,             0.50555,             0.45035,             0.24548,            0.023311,           0.0049327,            0.038155,            0.009109,            0.009109,            0.009109
                  11,            0.025261,            0.014153,            0.056558,             0.42527,             0.52816,             0.48541,             0.28594,            0.022334,           0.0046763,             0.03672,             0.00901,             0.00901,             0.00901
                  12,            0.025503,            0.014107,             0.05589,             0.42216,              0.4936,             0.45298,             0.24597,            0.023536,           0.0049111,            0.038702,            0.008911,            0.008911,            0.008911
                  13,            0.026124,            0.014153,            0.055289,             0.47259,             0.55739,             0.50761,             0.30225,            0.022032,           0.0046918,             0.03503,            0.008812,            0.008812,            0.008812
                  14,            0.024552,            0.013942,            0.053109,              0.4935,             0.56807,             0.53871,             0.31094,            0.022667,           0.0047424,            0.033093,            0.008713,            0.008713,            0.008713
                  15,            0.025302,            0.014025,            0.053693,             0.49943,             0.56093,             0.53114,             0.30274,            0.023835,            0.004689,            0.033151,            0.008614,            0.008614,            0.008614
                  16,            0.025167,            0.013947,            0.052805,             0.52378,             0.59898,             0.57686,             0.34307,             0.02216,           0.0045184,            0.032139,            0.008515,            0.008515,            0.008515
                  17,            0.024924,            0.013901,            0.053214,             0.56057,             0.58978,             0.59038,              0.3362,            0.022689,           0.0047598,              0.0304,            0.008416,            0.008416,            0.008416
                  18,            0.024039,            0.013775,            0.051327,              0.5484,             0.63589,             0.62177,              0.3736,            0.021112,           0.0045596,            0.030571,            0.008317,            0.008317,            0.008317
                  19,             0.02408,            0.013767,             0.05085,             0.61543,              0.6236,             0.63706,             0.37639,            0.022116,           0.0046671,            0.029534,            0.008218,            0.008218,            0.008218
                  20,            0.025137,            0.013712,            0.051525,             0.57636,             0.63085,             0.63017,             0.37947,            0.020878,           0.0046072,            0.029932,            0.008119,            0.008119,            0.008119
                  21,            0.024839,            0.013718,            0.049768,             0.58956,             0.65297,             0.64867,              0.3972,            0.021045,           0.0045201,            0.028474,             0.00802,             0.00802,             0.00802
                  22,            0.024162,            0.013606,            0.048769,             0.60922,             0.63807,             0.65946,             0.41035,            0.020826,            0.004467,            0.028143,            0.007921,            0.007921,            0.007921
                  23,            0.024968,            0.013692,            0.049474,             0.61188,             0.65049,             0.67489,             0.42132,            0.020769,           0.0044397,            0.027986,            0.007822,            0.007822,            0.007822
                  24,            0.024875,            0.013481,             0.04811,             0.62236,             0.66042,             0.68183,             0.42148,             0.02146,           0.0044401,            0.026527,            0.007723,            0.007723,            0.007723
                  25,            0.024185,             0.01353,            0.047151,             0.64901,             0.65905,             0.68557,             0.43016,            0.020732,           0.0044492,            0.026581,            0.007624,            0.007624,            0.007624
                  26,            0.024108,             0.01355,            0.047315,             0.64155,             0.65774,             0.68831,             0.42604,            0.020773,           0.0045052,            0.026657,            0.007525,            0.007525,            0.007525
